大分類,小分類,產品編號,中文品名,日文品名,英文品名/規格,單位,季節/備註,
飛機貨(鮮活),鮮魚/活口海鮮,,本鮪腩(不連赤身),No.1 Otoro,Fresh Bluefin Tuna No.1 Belly (4kg~6kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,本鮪腩 (連赤身),No.1 Otoro,Fresh Bluefin Tuna No.1 Belly (5kg~8kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,本鮪中腩,CHU-toro,Fresh Bluefin Tuna No.2 belly (4kg~7kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,本鮪赤身,Akami,Fresh Bluefin Tuna Akami (1kg~5KG),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,天然劍魚,Kajiki Maguro,Fresh Wild Swordfish No.1 Belly (3-4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,銀鱈魚,Gindara,Fresh Wild Japanese sablefish (1.7-2.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鰆魚,Sawara,Fresh Wild Japanese Spanish Mackerel (3-4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,油甘魚,Hamachi,Fresh Aquaculture Yellowtail (4-6kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,油甘魚片半身,Hamachi 1/2,Fresh Aquaculture Yellowtail Half (2-3kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鱆紅魚/間八,Kanpachi,Fresh Pirplish Amberjack (2.8-5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鱆紅魚/間八 半身,Kanpachi 1/2,Fresh Pirplish Amberjack half (1.5-2.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鰤魚腩 1/4,Buri (HARA ),Fresh Aquaculture amberjack 1/4 (2-4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,平政,Hiramasa,Fresh yellowtail amberjack (4.5-7kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,平政(半身),Hiramasa (Half),Fresh yellowtail amberjack Half (3-4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鰹,Katsuo,Fresh Wild bonito (4-5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鰹半身,Katsuo (half),Fresh Wild Bonito half (2-3kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鰹1/4腹,Katsuo (1/4),Fresh Wild Bonito 1/4 (1.2-1.8kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,大池魚,Shimaaji,Fresh White trevally (1.0kg~2kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,櫻鱒,Sakura masu,Fresh Wild Masu salmon (3kg~4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,沙甸魚,IWASHI,Fresh Wild Japanese Sardine (80g~120g),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,秋刀魚,Sanma,Fresh Wild Pacific Saury (80g-140g),KG,AUTUMN,
飛機貨(鮮活),鮮魚/活口海鮮,,池魚,Aji,Fresh Wild jack mackerel (160g~300g),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,釣池魚,Tsuriaji,Fresh Wild jack mackerel (160g~300g),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,伊佐木,Isaki,Fresh Wild Chicken grunt (400G-1Kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,魴鮄魚,Houbou,Fresh Wild Bluefin searobin (0.4kg~1kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,飛魚,Tobiuo,Fresh Wild flyingfish (0.3kg~0.8kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,赤鯥魚,Akamutsu,Fresh Blackthroat Seaperch (400～800g),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,黑鯥魚,Kuromutsu,Fresh Gnomefish (1kg~1.8kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鱸魚,Suzuki,Fresh Wild Japanese Sea Bass (1.5kg~3kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,剝皮魚,KAWAHAGI,Fresh Wild Leatherfish (250-500g),KG,WINTER,
飛機貨(鮮活),鮮魚/活口海鮮,,馬面剝,UMAZURAHAGI,Fresh Wild Black scraper (250-400g),KG,WINTER-SPRING,
飛機貨(鮮活),鮮魚/活口海鮮,,鯛魚,Tai,Fresh Red Sea Bream (2kg~3kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,金目鯛,Kinmedai,Fresh Wild Splendid alfonsino (1.0kg~2.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,地金目鯛,Ji-Kinmedai,Fresh Wild Splendid alfonsino (1.0kg~1.8kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,赤甘鯛,Akaamadai,Fresh Wild Japanese Barnquillo (800g-1.3kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,的鯛,Matoudai,Fresh Wild JOHN Dory (1kg~1.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,石垣鯛,Ishigakidai,Fresh Wild Spotted Parrotfish (1kg~1.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,石鯛,Ishidai,Japanese Fresh Rock Bream (1kg~1.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,疣鯛,Ebodai,Fresh Pacific rudderfish (180g~300g),KG,SPRING-AUTUMN,
飛機貨(鮮活),鮮魚/活口海鮮,,尾長鯛,Onagadai,Fresh Etelis (700g~1.8kg),KG,AUTUMN-SPRING,
飛機貨(鮮活),鮮魚/活口海鮮,,喜之次,Kinki,Fresh Wild Idiot (300～800g),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鮫鰈,Samegarei,Fresh Wild Roughscale Sole (2kg~4kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,泳鮃目魚,Live Hirame,Live Bastard Halibut (1.2～1.6kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鮃目魚 (活殺),Hirame (Ike jime),Fresh Wild Bastard Halibut (1.2～1.6kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,金線鯛/紅杉魚,Itoyori,Fresh Wild Goldenthread (400g~1kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,鯖魚,Saba,Fresh Wild Mackerel (500g~1kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,眼仁奈,Mejina,Fresh Wild Girella Leonina (0.5kg~1kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,赤目張/目張,Mebaru,Fresh White-edged rockfish (300g~500g),KG,SPRING-SUMMER,
飛機貨(鮮活),鮮魚/活口海鮮,,石頭魚,Okoze,Fresh Stone fish (250g~400g),KG,SPRING-SUMMER,
飛機貨(鮮活),鮮魚/活口海鮮,,石斑(九絵),Kue,Fresh tawny grouper (1.5kg~10kg),KG,WINTER-SPRING,
飛機貨(鮮活),鮮魚/活口海鮮,,赤血引,Akachibiki,Fresh Bonnet mouth Fish (1kg~2kg),KG,AUTUMN-WINTER,
飛機貨(鮮活),鮮魚/活口海鮮,,笠子魚,Kasago,Fresh Wild Marbled rockfish (0.4kg~1kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,愛女魚,Ainame,Fresh Fat greenling (600g~1.5kg),KG,SPRING-AUTUMN,
飛機貨(鮮活),鮮魚/活口海鮮,,赤矢柄,Yagara,Fresh Red Fistularia (1kg~2.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,太刀魚,Tachuo,Fresh Wild Cutlassfish (0.8kg~1.5kg),KG,All,
飛機貨(鮮活),鮮魚/活口海鮮,,白倉魚,MANA KATSUO,Live Japanese Harvestfish (2kg~3kg),KG,All,
